date	stage	time	values
2020-03-12	positive	active	436.5515846924375
2020-03-12	infectious	new	38.98720098759236
2020-03-12	infectious	active	337.30516519548246
2020-03-12	possymp	new	4.3338206519690115
2020-03-12	possymp	active	16.77760195255586
2020-03-13	infections	start	58.176997893260776
2020-03-13	positive	start	57.3890453495839
2020-03-13	infectious	start	55.40381825152048
2020-03-13	symptoms	start	48.2952609763803
2020-03-13	infectious	end	17.63561443237726
2020-03-13	symptoms	end	9.650950937315505
2020-03-13	positive	end	3.495038849915331
2020-03-13	reported	end	23.499901637731764
2020-03-13	symptoms	new	38.64431003906479
2020-03-13	symptoms	active	303.5077639738549
2020-03-13	presymp	new	9.093784373203604
2020-03-13	presymp	active	164.00431317829506
2020-03-13	positive	new	53.89400649966857
2020-03-13	positive	active	490.445591192106
2020-03-13	infectious	new	37.76820381914322
2020-03-13	infectious	active	375.07336901462565
2020-03-13	possymp	new	6.155912087400174
2020-03-13	possymp	active	22.93351403995603
2020-03-14	infections	start	57.82012371313345
2020-03-14	positive	start	58.18106503285917
2020-03-14	infectious	start	57.223582737847934
2020-03-14	symptoms	start	51.490850777178885
2020-03-14	infectious	end	21.753121820379135
2020-03-14	symptoms	end	12.904062710456644
2020-03-14	positive	end	4.452530886295622
2020-03-14	reported	end	25.89785078443909
2020-03-14	symptoms	new	38.58678806672224
2020-03-14	symptoms	active	342.0945520405771
2020-03-14	presymp	new	6.690214255680289
2020-03-14	presymp	active	170.69452743397537
2020-03-14	positive	new	53.728534146563554
2020-03-14	positive	active	544.1741253386696
2020-03-14	infectious	new	35.4704609174688
2020-03-14	infectious	active	410.54382993209447
2020-03-14	possymp	new	8.451531824161023
2020-03-14	possymp	active	31.385045864117053
2020-03-15	infections	start	57.303857298415515
2020-03-15	positive	start	58.149298469657005
2020-03-15	infectious	start	58.05737089217218
2020-03-15	symptoms	start	54.004895892344976
2020-03-15	infectious	end	26.18113716002048
2020-03-15	symptoms	end	16.710076884512368
2020-03-15	positive	end	5.774093506410588
2020-03-15	reported	end	12.948925392219545
2020-03-15	symptoms	new	37.29481900783261
2020-03-15	symptoms	active	379.38937104840977
2020-03-15	presymp	new	4.144402577312029
2020-03-15	presymp	active	174.8389300112874
2020-03-15	positive	new	52.37520496324642
2020-03-15	positive	active	596.549330301916
2020-03-15	infectious	new	31.8762337321517
2020-03-15	infectious	active	442.42006366424613
2020-03-15	possymp	new	10.935983378101781
2020-03-15	possymp	active	42.321029242218835
2020-03-16	infections	start	56.757736396879736
2020-03-16	positive	start	57.8197728423079
2020-03-16	infectious	start	58.0665707956116
2020-03-16	symptoms	start	55.76540659102358
2020-03-16	infectious	end	30.8650562019882
2020-03-16	symptoms	end	20.854466370832867
2020-03-16	positive	end	7.560873726427226
2020-03-16	reported	end	55.152830374268426
2020-03-16	symptoms	new	34.91094022019071
2020-03-16	symptoms	active	414.30031126860047
2020-03-16	presymp	new	2.0543662512843213
2020-03-16	presymp	active	176.8932962625717
2020-03-16	positive	new	50.25889911588067
2020-03-16	positive	active	646.8082294177966
2020-03-16	infectious	new	27.201514593623397
2020-03-16	infectious	active	469.62157825786954
2020-03-16	possymp	new	13.293592644405642
2020-03-16	possymp	active	55.61462188662448
2020-03-17	infections	start	56.193100581927666
2020-03-17	positive	start	57.31192633638974
2020-03-17	infectious	start	57.762231553492924
2020-03-17	symptoms	start	56.5743322466254
2020-03-17	infectious	end	35.38162398848733
2020-03-17	symptoms	end	25.31897284802661
2020-03-17	positive	end	9.882679509701523
2020-03-17	reported	end	56.591599862292824
2020-03-17	symptoms	new	31.25535939859879
2020-03-17	symptoms	active	445.55567066719925
2020-03-17	presymp	new	0.737594089764336
2020-03-17	presymp	active	177.63089035233605
2020-03-17	positive	new	47.429246826688214
2020-03-17	positive	active	694.2374762444849
2020-03-17	infectious	new	22.380607565005597
2020-03-17	infectious	active	492.00218582287516
2020-03-17	possymp	new	15.436293338325088
2020-03-17	possymp	active	71.05091522494956
2020-03-18	infections	start	55.49868957940818
2020-03-18	positive	start	56.76025622580628
2020-03-18	infectious	start	57.263158319732185
2020-03-18	symptoms	start	56.55216636204593
2020-03-18	infectious	end	39.47548810076785
2020-03-18	symptoms	end	30.066136825122758
2020-03-18	positive	end	12.825739886560346
2020-03-18	reported	end	73.37724388924408
2020-03-18	symptoms	new	26.486029536923173
2020-03-18	symptoms	active	472.04170020412244
2020-03-18	presymp	new	0.20808986376034966
2020-03-18	presymp	active	177.8389802160964
2020-03-18	positive	new	43.93451633924593
2020-03-18	positive	active	738.1719925837308
2020-03-18	infectious	new	17.787670218964337
2020-03-18	infectious	active	509.78985604183947
2020-03-18	possymp	new	17.240396938562412
2020-03-18	possymp	active	88.29131216351198
2020-03-19	infections	start	54.61585047406536
2020-03-19	positive	start	56.18578862768917
2020-03-19	infectious	start	56.712053718649614
2020-03-19	symptoms	start	56.214404580947644
2020-03-19	infectious	end	43.271015253685796
2020-03-19	symptoms	end	34.77390179725052
2020-03-19	positive	end	16.471577378669632
2020-03-19	reported	end	47.95898293414646
2020-03-19	symptoms	new	21.440502783697127
2020-03-19	symptoms	active	493.48220298781956
2020-03-19	presymp	new	-0.028615953258473326
2020-03-19	presymp	active	177.81036426283794
2020-03-19	positive	new	39.71421124901954
2020-03-19	positive	active	777.8862038327503
2020-03-19	infectious	new	13.441038464963817
2020-03-19	infectious	active	523.2308945068033
2020-03-19	possymp	new	18.302324418580884
2020-03-19	possymp	active	106.59363658209286
2020-03-20	infections	start	53.4740985041924
2020-03-20	positive	start	55.48586412673796
2020-03-20	infectious	start	56.138660754605674
2020-03-20	symptoms	start	55.71096234996347
2020-03-20	infectious	end	46.81587091438574
2020-03-20	symptoms	end	39.1376448278109
2020-03-20	positive	end	20.572606634342424
2020-03-20	reported	end	60.42831849702454
2020-03-20	symptoms	new	16.573317522152564
2020-03-20	symptoms	active	510.0555205099721
2020-03-20	presymp	new	-0.22509822322550832
2020-03-20	presymp	active	177.5852660396124
2020-03-20	positive	new	34.91325749239553
